,Model,Brand,Price,Odometer,Paint color,Condition,Fuel,Transmission,Type
97,2020,Ford,26990.0,13730,black,good,other,other,hatchback
98,2020,Ford,33990.0,15036,white,good,gas,other,van
99,2016,Maserati,39590.0,36754,white,good,gas,other,sedan
100,2004,Toyota,7500.0,266000,white,good,gas,automatic,truck
101,2003,toyota,12000.0,112690,black,good,gas,manual,pickup
102,2013,hyundai,4800.0,182000,white,good,gas,automatic,sedan
103,2004,Dodge,4983.0,243945,white,good,gas,automatic,pickup
104,2017,Subaru,26990.0,29867,blue,good,other,automatic,hatchback
105,2012,Porsche,35990.0,45609,white,good,other,automatic,sedan
106,2001,2001,3000.0,129500,white,good,gas,automatic,pickup
107,2016,Nissan,17990.0,13634,white,good,electric,other,hatchback
108,2018,Ford,26990.0,18678,white,good,other,other,sedan
109,2019,Volvo,35990.0,23074,white,good,other,other,sedan
110,2007,nissan,3800.0,170000,red,good,gas,automatic,sedan
111,2000,ford,4000.0,206200,white,good,gas,automatic,truck
112,2021,Toyota,31990.0,2832,white,good,other,other,hatchback
113,2017,Jaguar,28590.0,36168,blue,good,other,other,sedan
114,2014,Ford,22990.0,47170,blue,good,gas,other,hatchback
115,2008,2008,9875.0,138888,silver,good,gas,automatic,pickup
116,2013,Chrysler,17590.0,10760,red,good,gas,other,sedan
117,2015,MAZDA,17990.0,50389,red,good,gas,automatic,van
118,2021,Hyundai,23990.0,9222,white,good,gas,other,hatchback
119,2019,Toyota,39990.0,8336,red,good,other,other,sedan
120,2020,Ford,39990.0,10443,red,good,gas,other,pickup
121,2016,Chevrolet,16990.0,19204,silver,good,gas,other,hatchback
122,2018,Audi,35990.0,23334,white,good,gas,automatic,sedan
123,2008,nissan,9875.0,138888,silver,good,gas,automatic,truck
124,2019,Lexus,36590.0,16908,blue,good,other,automatic,hatchback
125,2015,Ford,39990.0,13766,white,good,other,other,pickup
126,2011,Audi,16990.0,79372,black,good,gas,automatic,coupe
127,2019,Kia,25590.0,22047,black,good,gas,other,wagon
128,2015,Lexus,25590.0,58565,black,good,other,automatic,hatchback
129,2017,Kia,24590.0,59254,silver,good,gas,automatic,wagon
130,2015,Acura,24990.0,39017,white,good,other,automatic,sedan
131,2013,MINI,19590.0,37236,white,good,gas,other,hatchback
132,2012,Nissan,15990.0,64558,white,good,other,automatic,hatchback
133,2016,Scion,19990.0,7565,red,good,other,other,sedan
134,2015,BMW,27990.0,43356,black,good,gas,automatic,coupe
135,2019,Cadillac,38990.0,38219,black,good,gas,other,hatchback
136,2015,Chrysler,19590.0,23317,white,good,other,other,sedan
137,2016,Mercedes-Benz,31590.0,29634,silver,good,gas,automatic,sedan
138,2017,Nissan,30990.0,22353,red,good,other,automatic,coupe
139,2019,MAZDA,24590.0,10370,blue,good,other,automatic,hatchback
140,2015,Mitsubishi,18990.0,53277,white,good,other,automatic,hatchback
141,2013,Ford,19990.0,77654,red,good,other,other,hatchback
142,1986,porsche,8500.0,104000,red,good,gas,manual,coupe
143,2019,BMW,31590.0,54802,black,good,gas,other,hatchback
144,2014,Mitsubishi,16990.0,49672,blue,good,gas,automatic,hatchback
145,2016,Subaru,25990.0,38150,white,good,other,other,coupe
146,2016,Cadillac,27990.0,78384,black,good,gas,other,sedan
147,2019,Alfa,37990.0,25630,black,good,other,other,hatchback
148,2014,Audi,27990.0,79468,black,good,other,automatic,sedan
149,2018,Ford,24990.0,11554,red,good,other,automatic,hatchback
150,2013,ford,18500.0,160000,black,good,gas,automatic,truck
151,2014,Mercedes-Benz,38590.0,39253,black,good,other,other,coupe
152,2016,Toyota,15990.0,68717,silver,good,gas,other,sedan
153,2018,Genesis,33990.0,45361,black,good,other,other,sedan
154,2016,Dodge,17590.0,40669,red,good,other,other,sedan
155,2018,Toyota,18990.0,25742,silver,good,gas,other,sedan
156,2018,Jaguar,28990.0,72637,red,good,other,other,sedan
157,2017,Ford,36990.0,31426,red,good,other,automatic,pickup
158,2013,MINI,19590.0,30202,red,good,gas,other,hatchback
159,2021,Toyota,39590.0,14187,white,good,gas,automatic,hatchback
160,2012,Chevrolet,28990.0,54666,black,good,other,other,pickup
161,2018,Chevrolet,21990.0,15952,white,good,gas,other,hatchback
162,2017,FIAT,20990.0,37211,blue,good,other,other,hatchback
163,2015,Subaru,25990.0,55438,white,good,other,automatic,hatchback
164,2013,Ford,16990.0,62193,silver,good,gas,automatic,wagon
165,2012,Nissan,23990.0,78181,black,good,other,other,coupe
166,2015,Subaru,24590.0,51592,green,good,other,automatic,wagon
167,1998,TOYOTA,2300.0,197000,green,good,gas,automatic,sedan
168,2019,MAZDA,26990.0,8955,white,good,other,automatic,hatchback
